"tipo_transp";"viajeros_tasas";"periodo";"total"
"Total de viajeros";"Viajeros transportados";"2020M08";168514
"Total de viajeros";"Viajeros transportados";"2020M07";206624
"Total de viajeros";"Viajeros transportados";"2020M06";156454
"Total de viajeros";"Viajeros transportados";"2020M05";73136
"Total de viajeros";"Viajeros transportados";"2020M04";36141
"Total de viajeros";"Viajeros transportados";"2020M03";212833
"Total de viajeros";"Viajeros transportados";"2020M02";434591
"Total de viajeros";"Viajeros transportados";"2020M01";423328
"Total de viajeros";"Viajeros transportados";"2019M12";410245
"Total de viajeros";"Viajeros transportados";"2019M11";447559
"Total de viajeros";"Viajeros transportados";"2019M10";491416
"Total de viajeros";"Viajeros transportados";"2019M09";423337
"Total de viajeros";"Viajeros transportados";"2019M08";307049
"Total de viajeros";"Viajeros transportados";"2019M07";392825
"Total de viajeros";"Viajeros transportados";"2019M06";428523
"Total de viajeros";"Viajeros transportados";"2019M05";461816
"Total de viajeros";"Viajeros transportados";"2019M04";418438
"Total de viajeros";"Viajeros transportados";"2019M03";453113
"Total de viajeros";"Viajeros transportados";"2019M02";413321
"Total de viajeros";"Viajeros transportados";"2019M01";417573
"Total de viajeros";"Viajeros transportados";"2018M12";397323
"Total de viajeros";"Viajeros transportados";"2018M11";436688
"Total de viajeros";"Viajeros transportados";"2018M10";466768
"Total de viajeros";"Viajeros transportados";"2018M09";406344
"Total de viajeros";"Viajeros transportados";"2018M08";301901
"Total de viajeros";"Viajeros transportados";"2018M07";377952
"Total de viajeros";"Viajeros transportados";"2018M06";428152
"Total de viajeros";"Viajeros transportados";"2018M05";448677
"Total de viajeros";"Viajeros transportados";"2018M04";428273
"Total de viajeros";"Viajeros transportados";"2018M03";418242
"Total de viajeros";"Viajeros transportados";"2018M02";394261
"Total de viajeros";"Viajeros transportados";"2018M01";401545
"Total de viajeros";"Viajeros transportados";"2017M12";377791
"Total de viajeros";"Viajeros transportados";"2017M11";427078
"Total de viajeros";"Viajeros transportados";"2017M10";440717
"Total de viajeros";"Viajeros transportados";"2017M09";398854
"Total de viajeros";"Viajeros transportados";"2017M08";294933
"Total de viajeros";"Viajeros transportados";"2017M07";364517
"Total de viajeros";"Viajeros transportados";"2017M06";417819
"Total de viajeros";"Viajeros transportados";"2017M05";440920
"Total de viajeros";"Viajeros transportados";"2017M04";382553
"Total de viajeros";"Viajeros transportados";"2017M03";445100
"Total de viajeros";"Viajeros transportados";"2017M02";389484
"Total de viajeros";"Viajeros transportados";"2017M01";378194
"Total de viajeros";"Viajeros transportados";"2016M12";378174
"Total de viajeros";"Viajeros transportados";"2016M11";413857
"Total de viajeros";"Viajeros transportados";"2016M10";427059
"Total de viajeros";"Viajeros transportados";"2016M09";401148
"Total de viajeros";"Viajeros transportados";"2016M08";290036
"Total de viajeros";"Viajeros transportados";"2016M07";351230
"Total de viajeros";"Viajeros transportados";"2016M06";402670
"Total de viajeros";"Viajeros transportados";"2016M05";422798
"Total de viajeros";"Viajeros transportados";"2016M04";415426
"Total de viajeros";"Viajeros transportados";"2016M03";393063
"Total de viajeros";"Viajeros transportados";"2016M02";383757
"Total de viajeros";"Viajeros transportados";"2016M01";361910
"Total de viajeros";"Viajeros transportados";"2015M12";375002
"Total de viajeros";"Viajeros transportados";"2015M11";405089
"Total de viajeros";"Viajeros transportados";"2015M10";424072
"Total de viajeros";"Viajeros transportados";"2015M09";380950
"Total de viajeros";"Viajeros transportados";"2015M08";272852
"Total de viajeros";"Viajeros transportados";"2015M07";353208
"Total de viajeros";"Viajeros transportados";"2015M06";389351
"Total de viajeros";"Viajeros transportados";"2015M05";407243
"Total de viajeros";"Viajeros transportados";"2015M04";384260
"Total de viajeros";"Viajeros transportados";"2015M03";402041
"Total de viajeros";"Viajeros transportados";"2015M02";365159
"Total de viajeros";"Viajeros transportados";"2015M01";362698
"Total de viajeros";"Viajeros transportados";"2014M12";366513
"Total de viajeros";"Viajeros transportados";"2014M11";386548
"Total de viajeros";"Viajeros transportados";"2014M10";432776
"Total de viajeros";"Viajeros transportados";"2014M09";374527
"Total de viajeros";"Viajeros transportados";"2014M08";265202
"Total de viajeros";"Viajeros transportados";"2014M07";346198
"Total de viajeros";"Viajeros transportados";"2014M06";378493
"Total de viajeros";"Viajeros transportados";"2014M05";406246
"Total de viajeros";"Viajeros transportados";"2014M04";378265
"Total de viajeros";"Viajeros transportados";"2014M03";402037
"Total de viajeros";"Viajeros transportados";"2014M02";368718
"Total de viajeros";"Viajeros transportados";"2014M01";371433
"Total de viajeros";"Viajeros transportados";"2013M12";360875
"Total de viajeros";"Viajeros transportados";"2013M11";388986
"Total de viajeros";"Viajeros transportados";"2013M10";431048
"Total de viajeros";"Viajeros transportados";"2013M09";363267
"Total de viajeros";"Viajeros transportados";"2013M08";265569
"Total de viajeros";"Viajeros transportados";"2013M07";347942
"Total de viajeros";"Viajeros transportados";"2013M06";385704
"Total de viajeros";"Viajeros transportados";"2013M05";414932
"Total de viajeros";"Viajeros transportados";"2013M04";401276
"Total de viajeros";"Viajeros transportados";"2013M03";379029
"Total de viajeros";"Viajeros transportados";"2013M02";369868
"Total de viajeros";"Viajeros transportados";"2013M01";377654
"Total de viajeros";"Viajeros transportados";"2012M12";353987
"Total de viajeros";"Viajeros transportados";"2012M11";385639
"Total de viajeros";"Viajeros transportados";"2012M10";422843
"Total de viajeros";"Viajeros transportados";"2012M09";363500
"Total de viajeros";"Viajeros transportados";"2012M08";276474
"Total de viajeros";"Viajeros transportados";"2012M07";352022
"Total de viajeros";"Viajeros transportados";"2012M06";400374
"Total de viajeros";"Viajeros transportados";"2012M05";425948
"Total de viajeros";"Viajeros transportados";"2012M04";374663
"Total de viajeros";"Viajeros transportados";"2012M03";426110
"Total de viajeros";"Viajeros transportados";"2012M02";396218
"Total de viajeros";"Viajeros transportados";"2012M01";390293
"Total de viajeros";"Viajeros transportados";"2011M12";386528
"Total de viajeros";"Viajeros transportados";"2011M11";418821
"Total de viajeros";"Viajeros transportados";"2011M10";425777
"Total de viajeros";"Viajeros transportados";"2011M09";391815
"Total de viajeros";"Viajeros transportados";"2011M08";292575
"Total de viajeros";"Viajeros transportados";"2011M07";358103
"Total de viajeros";"Viajeros transportados";"2011M06";412854
"Total de viajeros";"Viajeros transportados";"2011M05";439370
"Total de viajeros";"Viajeros transportados";"2011M04";393527
"Total de viajeros";"Viajeros transportados";"2011M03";444285
"Total de viajeros";"Viajeros transportados";"2011M02";394639
"Total de viajeros";"Viajeros transportados";"2011M01";384145
"Total de viajeros";"Viajeros transportados";"2010M12";388958
"Total de viajeros";"Viajeros transportados";"2010M11";423383
"Total de viajeros";"Viajeros transportados";"2010M10";427903
"Total de viajeros";"Viajeros transportados";"2010M09";390030
"Total de viajeros";"Viajeros transportados";"2010M08";285863
"Total de viajeros";"Viajeros transportados";"2010M07";365945
"Total de viajeros";"Viajeros transportados";"2010M06";412897
"Total de viajeros";"Viajeros transportados";"2010M05";435841
"Total de viajeros";"Viajeros transportados";"2010M04";410607
"Total de viajeros";"Viajeros transportados";"2010M03";438090
"Total de viajeros";"Viajeros transportados";"2010M02";391132
"Total de viajeros";"Viajeros transportados";"2010M01";377222
"Total de viajeros";"Viajeros transportados";"2009M12";390794
"Total de viajeros";"Viajeros transportados";"2009M11";422923
"Total de viajeros";"Viajeros transportados";"2009M10";440032
"Total de viajeros";"Viajeros transportados";"2009M09";392418
"Total de viajeros";"Viajeros transportados";"2009M08";289705
"Total de viajeros";"Viajeros transportados";"2009M07";379613
"Total de viajeros";"Viajeros transportados";"2009M06";423634
"Total de viajeros";"Viajeros transportados";"2009M05";432272
"Total de viajeros";"Viajeros transportados";"2009M04";403121
"Total de viajeros";"Viajeros transportados";"2009M03";440223
"Total de viajeros";"Viajeros transportados";"2009M02";400562
"Total de viajeros";"Viajeros transportados";"2009M01";398959
"Total de viajeros";"Viajeros transportados";"2008M12";400925
"Total de viajeros";"Viajeros transportados";"2008M11";430151
"Total de viajeros";"Viajeros transportados";"2008M10";465615
"Total de viajeros";"Viajeros transportados";"2008M09";403246
"Total de viajeros";"Viajeros transportados";"2008M08";301354
"Total de viajeros";"Viajeros transportados";"2008M07";397508
"Total de viajeros";"Viajeros transportados";"2008M06";431864
"Total de viajeros";"Viajeros transportados";"2008M05";445771
"Total de viajeros";"Viajeros transportados";"2008M04";453642
"Total de viajeros";"Viajeros transportados";"2008M03";411298
"Total de viajeros";"Viajeros transportados";"2008M02";430825
"Total de viajeros";"Viajeros transportados";"2008M01";433948
"Total de viajeros";"Viajeros transportados";"2007M12";400014
"Total de viajeros";"Viajeros transportados";"2007M11";447449
"Total de viajeros";"Viajeros transportados";"2007M10";473103
"Total de viajeros";"Viajeros transportados";"2007M09";400318
"Total de viajeros";"Viajeros transportados";"2007M08";308481
"Total de viajeros";"Viajeros transportados";"2007M07";393562
"Total de viajeros";"Viajeros transportados";"2007M06";446976
"Total de viajeros";"Viajeros transportados";"2007M05";470124
"Total de viajeros";"Viajeros transportados";"2007M04";414211
"Total de viajeros";"Viajeros transportados";"2007M03";473913
"Total de viajeros";"Viajeros transportados";"2007M02";420408
"Total de viajeros";"Viajeros transportados";"2007M01";428813
"Total de viajeros";"Viajeros transportados";"2006M12";407801
"Total de viajeros";"Viajeros transportados";"2006M11";454167
"Total de viajeros";"Viajeros transportados";"2006M10";471477
"Total de viajeros";"Viajeros transportados";"2006M09";413224
"Total de viajeros";"Viajeros transportados";"2006M08";314838
"Total de viajeros";"Viajeros transportados";"2006M07";391155
"Total de viajeros";"Viajeros transportados";"2006M06";451410
"Total de viajeros";"Viajeros transportados";"2006M05";474787
"Total de viajeros";"Viajeros transportados";"2006M04";408305
"Total de viajeros";"Viajeros transportados";"2006M03";471214
"Total de viajeros";"Viajeros transportados";"2006M02";421543
"Total de viajeros";"Viajeros transportados";"2006M01";415427
"Total de viajeros";"Viajeros transportados";"2005M12";409424
"Total de viajeros";"Viajeros transportados";"2005M11";451961
"Total de viajeros";"Viajeros transportados";"2005M10";458055
"Total de viajeros";"Viajeros transportados";"2005M09";412730
"Total de viajeros";"Viajeros transportados";"2005M08";311675
"Total de viajeros";"Viajeros transportados";"2005M07";373076
"Total de viajeros";"Viajeros transportados";"2005M06";452967
"Total de viajeros";"Viajeros transportados";"2005M05";463789
"Total de viajeros";"Viajeros transportados";"2005M04";454532
"Total de viajeros";"Viajeros transportados";"2005M03";433435
"Total de viajeros";"Viajeros transportados";"2005M02";407750
"Total de viajeros";"Viajeros transportados";"2005M01";412654
"Total de viajeros";"Viajeros transportados";"2004M12";
"Total de viajeros";"Viajeros transportados";"2004M11";
"Total de viajeros";"Viajeros transportados";"2004M10";
"Total de viajeros";"Viajeros transportados";"2004M09";
"Total de viajeros";"Viajeros transportados";"2004M08";
"Total de viajeros";"Viajeros transportados";"2004M07";
"Total de viajeros";"Viajeros transportados";"2004M06";
"Total de viajeros";"Viajeros transportados";"2004M05";
"Total de viajeros";"Viajeros transportados";"2004M04";
"Total de viajeros";"Viajeros transportados";"2004M03";
"Total de viajeros";"Viajeros transportados";"2004M02";
"Total de viajeros";"Viajeros transportados";"2004M01";
"Total de viajeros";"Viajeros transportados";"2003M12";
"Total de viajeros";"Viajeros transportados";"2003M11";
"Total de viajeros";"Viajeros transportados";"2003M10";
"Total de viajeros";"Viajeros transportados";"2003M09";
"Total de viajeros";"Viajeros transportados";"2003M08";
"Total de viajeros";"Viajeros transportados";"2003M07";
"Total de viajeros";"Viajeros transportados";"2003M06";
"Total de viajeros";"Viajeros transportados";"2003M05";
"Total de viajeros";"Viajeros transportados";"2003M04";
"Total de viajeros";"Viajeros transportados";"2003M03";
"Total de viajeros";"Viajeros transportados";"2003M02";
"Total de viajeros";"Viajeros transportados";"2003M01";
"Total de viajeros";"Viajeros transportados";"2002M12";
"Total de viajeros";"Viajeros transportados";"2002M11";
"Total de viajeros";"Viajeros transportados";"2002M10";
"Total de viajeros";"Viajeros transportados";"2002M09";
"Total de viajeros";"Viajeros transportados";"2002M08";
"Total de viajeros";"Viajeros transportados";"2002M07";
"Total de viajeros";"Viajeros transportados";"2002M06";
"Total de viajeros";"Viajeros transportados";"2002M05";
"Total de viajeros";"Viajeros transportados";"2002M04";
"Total de viajeros";"Viajeros transportados";"2002M03";
"Total de viajeros";"Viajeros transportados";"2002M02";
"Total de viajeros";"Viajeros transportados";"2002M01";
"Total de viajeros";"Viajeros transportados";"2001M12";
"Total de viajeros";"Viajeros transportados";"2001M11";
"Total de viajeros";"Viajeros transportados";"2001M10";
"Total de viajeros";"Viajeros transportados";"2001M09";
"Total de viajeros";"Viajeros transportados";"2001M08";
"Total de viajeros";"Viajeros transportados";"2001M07";
"Total de viajeros";"Viajeros transportados";"2001M06";
"Total de viajeros";"Viajeros transportados";"2001M05";
"Total de viajeros";"Viajeros transportados";"2001M04";
"Total de viajeros";"Viajeros transportados";"2001M03";
"Total de viajeros";"Viajeros transportados";"2001M02";
"Total de viajeros";"Viajeros transportados";"2001M01";
"Total de viajeros";"Viajeros transportados";"2000M12";
"Total de viajeros";"Viajeros transportados";"2000M11";
"Total de viajeros";"Viajeros transportados";"2000M10";
"Total de viajeros";"Viajeros transportados";"2000M09";
"Total de viajeros";"Viajeros transportados";"2000M08";
"Total de viajeros";"Viajeros transportados";"2000M07";
"Total de viajeros";"Viajeros transportados";"2000M06";
"Total de viajeros";"Viajeros transportados";"2000M05";
"Total de viajeros";"Viajeros transportados";"2000M04";
"Total de viajeros";"Viajeros transportados";"2000M03";
"Total de viajeros";"Viajeros transportados";"2000M02";
"Total de viajeros";"Viajeros transportados";"2000M01";
"Total de viajeros";"Viajeros transportados";"1999M12";
"Total de viajeros";"Viajeros transportados";"1999M11";
"Total de viajeros";"Viajeros transportados";"1999M10";
"Total de viajeros";"Viajeros transportados";"1999M09";
"Total de viajeros";"Viajeros transportados";"1999M08";
"Total de viajeros";"Viajeros transportados";"1999M07";
"Total de viajeros";"Viajeros transportados";"1999M06";
"Total de viajeros";"Viajeros transportados";"1999M05";
"Total de viajeros";"Viajeros transportados";"1999M04";
"Total de viajeros";"Viajeros transportados";"1999M03";
"Total de viajeros";"Viajeros transportados";"1999M02";
"Total de viajeros";"Viajeros transportados";"1999M01";
"Total de viajeros";"Viajeros transportados";"1998M12";
"Total de viajeros";"Viajeros transportados";"1998M11";
"Total de viajeros";"Viajeros transportados";"1998M10";
"Total de viajeros";"Viajeros transportados";"1998M09";
"Total de viajeros";"Viajeros transportados";"1998M08";
"Total de viajeros";"Viajeros transportados";"1998M07";
"Total de viajeros";"Viajeros transportados";"1998M06";
"Total de viajeros";"Viajeros transportados";"1998M05";
"Total de viajeros";"Viajeros transportados";"1998M04";
"Total de viajeros";"Viajeros transportados";"1998M03";
"Total de viajeros";"Viajeros transportados";"1998M02";
"Total de viajeros";"Viajeros transportados";"1998M01";
"Total de viajeros";"Viajeros transportados";"1997M12";
"Total de viajeros";"Viajeros transportados";"1997M11";
"Total de viajeros";"Viajeros transportados";"1997M10";
"Total de viajeros";"Viajeros transportados";"1997M09";
"Total de viajeros";"Viajeros transportados";"1997M08";
"Total de viajeros";"Viajeros transportados";"1997M07";
"Total de viajeros";"Viajeros transportados";"1997M06";
"Total de viajeros";"Viajeros transportados";"1997M05";
"Total de viajeros";"Viajeros transportados";"1997M04";
"Total de viajeros";"Viajeros transportados";"1997M03";
"Total de viajeros";"Viajeros transportados";"1997M02";
"Total de viajeros";"Viajeros transportados";"1997M01";
"Total de viajeros";"Viajeros transportados";"1996M12";
"Total de viajeros";"Viajeros transportados";"1996M11";
"Total de viajeros";"Viajeros transportados";"1996M10";
"Total de viajeros";"Viajeros transportados";"1996M09";
"Total de viajeros";"Viajeros transportados";"1996M08";
"Total de viajeros";"Viajeros transportados";"1996M07";
"Total de viajeros";"Viajeros transportados";"1996M06";
"Total de viajeros";"Viajeros transportados";"1996M05";
"Total de viajeros";"Viajeros transportados";"1996M04";
"Total de viajeros";"Viajeros transportados";"1996M03";
"Total de viajeros";"Viajeros transportados";"1996M02";
"Total de viajeros";"Viajeros transportados";"1996M01";
"Total de viajeros";"Variación anual";"2020M08";-45,1
"Total de viajeros";"Variación anual";"2020M07";-47,4
"Total de viajeros";"Variación anual";"2020M06";-63,5
"Total de viajeros";"Variación anual";"2020M05";-84,2
"Total de viajeros";"Variación anual";"2020M04";-91,4
"Total de viajeros";"Variación anual";"2020M03";-53
"Total de viajeros";"Variación anual";"2020M02";5,1
"Total de viajeros";"Variación anual";"2020M01";1,4
"Total de viajeros";"Variación anual";"2019M12";3,3
"Total de viajeros";"Variación anual";"2019M11";2,5
"Total de viajeros";"Variación anual";"2019M10";5,3
"Total de viajeros";"Variación anual";"2019M09";4,2
"Total de viajeros";"Variación anual";"2019M08";1,7
"Total de viajeros";"Variación anual";"2019M07";3,9
"Total de viajeros";"Variación anual";"2019M06";0,1
"Total de viajeros";"Variación anual";"2019M05";2,9
"Total de viajeros";"Variación anual";"2019M04";-2,3
"Total de viajeros";"Variación anual";"2019M03";8,3
"Total de viajeros";"Variación anual";"2019M02";4,8
"Total de viajeros";"Variación anual";"2019M01";4
"Total de viajeros";"Variación anual";"2018M12";5,2
"Total de viajeros";"Variación anual";"2018M11";2,3
"Total de viajeros";"Variación anual";"2018M10";5,9
"Total de viajeros";"Variación anual";"2018M09";1,9
"Total de viajeros";"Variación anual";"2018M08";2,4
"Total de viajeros";"Variación anual";"2018M07";3,7
"Total de viajeros";"Variación anual";"2018M06";2,5
"Total de viajeros";"Variación anual";"2018M05";1,8
"Total de viajeros";"Variación anual";"2018M04";12
"Total de viajeros";"Variación anual";"2018M03";-6
"Total de viajeros";"Variación anual";"2018M02";1,2
"Total de viajeros";"Variación anual";"2018M01";6,2
"Total de viajeros";"Variación anual";"2017M12";-0,1
"Total de viajeros";"Variación anual";"2017M11";3,2
"Total de viajeros";"Variación anual";"2017M10";3,2
"Total de viajeros";"Variación anual";"2017M09";-0,6
"Total de viajeros";"Variación anual";"2017M08";1,7
"Total de viajeros";"Variación anual";"2017M07";3,8
"Total de viajeros";"Variación anual";"2017M06";3,8
"Total de viajeros";"Variación anual";"2017M05";4,3
"Total de viajeros";"Variación anual";"2017M04";-7,9
"Total de viajeros";"Variación anual";"2017M03";13,2
"Total de viajeros";"Variación anual";"2017M02";1,5
"Total de viajeros";"Variación anual";"2017M01";4,5
"Total de viajeros";"Variación anual";"2016M12";0,8
"Total de viajeros";"Variación anual";"2016M11";2,2
"Total de viajeros";"Variación anual";"2016M10";0,7
"Total de viajeros";"Variación anual";"2016M09";5,3
"Total de viajeros";"Variación anual";"2016M08";6,3
"Total de viajeros";"Variación anual";"2016M07";-0,6
"Total de viajeros";"Variación anual";"2016M06";3,4
"Total de viajeros";"Variación anual";"2016M05";3,8
"Total de viajeros";"Variación anual";"2016M04";8,1
"Total de viajeros";"Variación anual";"2016M03";-2,2
"Total de viajeros";"Variación anual";"2016M02";5,1
"Total de viajeros";"Variación anual";"2016M01";-0,2
"Total de viajeros";"Variación anual";"2015M12";2,3
"Total de viajeros";"Variación anual";"2015M11";4,8
"Total de viajeros";"Variación anual";"2015M10";-2
"Total de viajeros";"Variación anual";"2015M09";1,7
"Total de viajeros";"Variación anual";"2015M08";2,9
"Total de viajeros";"Variación anual";"2015M07";2
"Total de viajeros";"Variación anual";"2015M06";2,9
"Total de viajeros";"Variación anual";"2015M05";0,2
"Total de viajeros";"Variación anual";"2015M04";1,6
"Total de viajeros";"Variación anual";"2015M03";0
"Total de viajeros";"Variación anual";"2015M02";-1
"Total de viajeros";"Variación anual";"2015M01";-2,4
"Total de viajeros";"Variación anual";"2014M12";1,6
"Total de viajeros";"Variación anual";"2014M11";-0,6
"Total de viajeros";"Variación anual";"2014M10";0,4
"Total de viajeros";"Variación anual";"2014M09";3,1
"Total de viajeros";"Variación anual";"2014M08";-0,1
"Total de viajeros";"Variación anual";"2014M07";-0,5
"Total de viajeros";"Variación anual";"2014M06";-1,9
"Total de viajeros";"Variación anual";"2014M05";-2,1
"Total de viajeros";"Variación anual";"2014M04";-5,7
"Total de viajeros";"Variación anual";"2014M03";6,1
"Total de viajeros";"Variación anual";"2014M02";-0,3
"Total de viajeros";"Variación anual";"2014M01";-1,6
"Total de viajeros";"Variación anual";"2013M12";1,9
"Total de viajeros";"Variación anual";"2013M11";0,9
"Total de viajeros";"Variación anual";"2013M10";1,9
"Total de viajeros";"Variación anual";"2013M09";-0,1
"Total de viajeros";"Variación anual";"2013M08";-3,9
"Total de viajeros";"Variación anual";"2013M07";-1,2
"Total de viajeros";"Variación anual";"2013M06";-3,7
"Total de viajeros";"Variación anual";"2013M05";-2,6
"Total de viajeros";"Variación anual";"2013M04";7,1
"Total de viajeros";"Variación anual";"2013M03";-11
"Total de viajeros";"Variación anual";"2013M02";-6,7
"Total de viajeros";"Variación anual";"2013M01";-3,2
"Total de viajeros";"Variación anual";"2012M12";-8,4
"Total de viajeros";"Variación anual";"2012M11";-7,9
"Total de viajeros";"Variación anual";"2012M10";-0,7
"Total de viajeros";"Variación anual";"2012M09";-7,2
"Total de viajeros";"Variación anual";"2012M08";-5,5
"Total de viajeros";"Variación anual";"2012M07";-1,7
"Total de viajeros";"Variación anual";"2012M06";-3
"Total de viajeros";"Variación anual";"2012M05";-3,1
"Total de viajeros";"Variación anual";"2012M04";-4,8
"Total de viajeros";"Variación anual";"2012M03";-4,1
"Total de viajeros";"Variación anual";"2012M02";0,4
"Total de viajeros";"Variación anual";"2012M01";1,6
"Total de viajeros";"Variación anual";"2011M12";-0,6
"Total de viajeros";"Variación anual";"2011M11";-1,1
"Total de viajeros";"Variación anual";"2011M10";-0,5
"Total de viajeros";"Variación anual";"2011M09";0,5
"Total de viajeros";"Variación anual";"2011M08";2,3
"Total de viajeros";"Variación anual";"2011M07";-2,1
"Total de viajeros";"Variación anual";"2011M06";0
"Total de viajeros";"Variación anual";"2011M05";0,8
"Total de viajeros";"Variación anual";"2011M04";-4,2
"Total de viajeros";"Variación anual";"2011M03";1,4
"Total de viajeros";"Variación anual";"2011M02";0,9
"Total de viajeros";"Variación anual";"2011M01";1,8
"Total de viajeros";"Variación anual";"2010M12";-0,5
"Total de viajeros";"Variación anual";"2010M11";0,1
"Total de viajeros";"Variación anual";"2010M10";-2,8
"Total de viajeros";"Variación anual";"2010M09";-0,6
"Total de viajeros";"Variación anual";"2010M08";-1,3
"Total de viajeros";"Variación anual";"2010M07";-3,6
"Total de viajeros";"Variación anual";"2010M06";-2,5
"Total de viajeros";"Variación anual";"2010M05";0,8
"Total de viajeros";"Variación anual";"2010M04";1,9
"Total de viajeros";"Variación anual";"2010M03";-0,5
"Total de viajeros";"Variación anual";"2010M02";-2,4
"Total de viajeros";"Variación anual";"2010M01";-5,4
"Total de viajeros";"Variación anual";"2009M12";-2,5
"Total de viajeros";"Variación anual";"2009M11";-1,7
"Total de viajeros";"Variación anual";"2009M10";-5,5
"Total de viajeros";"Variación anual";"2009M09";-2,7
"Total de viajeros";"Variación anual";"2009M08";-3,9
"Total de viajeros";"Variación anual";"2009M07";-4,5
"Total de viajeros";"Variación anual";"2009M06";-1,9
"Total de viajeros";"Variación anual";"2009M05";-3
"Total de viajeros";"Variación anual";"2009M04";-11,1
"Total de viajeros";"Variación anual";"2009M03";7
"Total de viajeros";"Variación anual";"2009M02";-7
"Total de viajeros";"Variación anual";"2009M01";-8,1
"Total de viajeros";"Variación anual";"2008M12";0,2
"Total de viajeros";"Variación anual";"2008M11";-3,9
"Total de viajeros";"Variación anual";"2008M10";-1,6
"Total de viajeros";"Variación anual";"2008M09";0,7
"Total de viajeros";"Variación anual";"2008M08";-2,3
"Total de viajeros";"Variación anual";"2008M07";1
"Total de viajeros";"Variación anual";"2008M06";-3,4
"Total de viajeros";"Variación anual";"2008M05";-5,2
"Total de viajeros";"Variación anual";"2008M04";9,5
"Total de viajeros";"Variación anual";"2008M03";-13,2
"Total de viajeros";"Variación anual";"2008M02";2,5
"Total de viajeros";"Variación anual";"2008M01";1,2
"Total de viajeros";"Variación anual";"2007M12";-1,9
"Total de viajeros";"Variación anual";"2007M11";-1,5
"Total de viajeros";"Variación anual";"2007M10";0,3
"Total de viajeros";"Variación anual";"2007M09";-3,1
"Total de viajeros";"Variación anual";"2007M08";-2
"Total de viajeros";"Variación anual";"2007M07";0,6
"Total de viajeros";"Variación anual";"2007M06";-1
"Total de viajeros";"Variación anual";"2007M05";-1
"Total de viajeros";"Variación anual";"2007M04";1,4
"Total de viajeros";"Variación anual";"2007M03";0,6
"Total de viajeros";"Variación anual";"2007M02";-0,3
"Total de viajeros";"Variación anual";"2007M01";3,2
"Total de viajeros";"Variación anual";"2006M12";-0,4
"Total de viajeros";"Variación anual";"2006M11";0,5
"Total de viajeros";"Variación anual";"2006M10";2,9
"Total de viajeros";"Variación anual";"2006M09";0,1
"Total de viajeros";"Variación anual";"2006M08";1
"Total de viajeros";"Variación anual";"2006M07";4,8
"Total de viajeros";"Variación anual";"2006M06";-0,3
"Total de viajeros";"Variación anual";"2006M05";2,4
"Total de viajeros";"Variación anual";"2006M04";-10,2
"Total de viajeros";"Variación anual";"2006M03";8,7
"Total de viajeros";"Variación anual";"2006M02";3,4
"Total de viajeros";"Variación anual";"2006M01";0,7
"Total de viajeros";"Variación anual";"2005M12";
"Total de viajeros";"Variación anual";"2005M11";
"Total de viajeros";"Variación anual";"2005M10";
"Total de viajeros";"Variación anual";"2005M09";
"Total de viajeros";"Variación anual";"2005M08";
"Total de viajeros";"Variación anual";"2005M07";
"Total de viajeros";"Variación anual";"2005M06";
"Total de viajeros";"Variación anual";"2005M05";
"Total de viajeros";"Variación anual";"2005M04";
"Total de viajeros";"Variación anual";"2005M03";
"Total de viajeros";"Variación anual";"2005M02";
"Total de viajeros";"Variación anual";"2005M01";
"Total de viajeros";"Variación anual";"2004M12";
"Total de viajeros";"Variación anual";"2004M11";
"Total de viajeros";"Variación anual";"2004M10";
"Total de viajeros";"Variación anual";"2004M09";
"Total de viajeros";"Variación anual";"2004M08";
"Total de viajeros";"Variación anual";"2004M07";
"Total de viajeros";"Variación anual";"2004M06";
"Total de viajeros";"Variación anual";"2004M05";
"Total de viajeros";"Variación anual";"2004M04";
"Total de viajeros";"Variación anual";"2004M03";
"Total de viajeros";"Variación anual";"2004M02";
"Total de viajeros";"Variación anual";"2004M01";
"Total de viajeros";"Variación anual";"2003M12";
"Total de viajeros";"Variación anual";"2003M11";
"Total de viajeros";"Variación anual";"2003M10";
"Total de viajeros";"Variación anual";"2003M09";
"Total de viajeros";"Variación anual";"2003M08";
"Total de viajeros";"Variación anual";"2003M07";
"Total de viajeros";"Variación anual";"2003M06";
"Total de viajeros";"Variación anual";"2003M05";
"Total de viajeros";"Variación anual";"2003M04";
"Total de viajeros";"Variación anual";"2003M03";
"Total de viajeros";"Variación anual";"2003M02";
"Total de viajeros";"Variación anual";"2003M01";
"Total de viajeros";"Variación anual";"2002M12";
"Total de viajeros";"Variación anual";"2002M11";
"Total de viajeros";"Variación anual";"2002M10";
"Total de viajeros";"Variación anual";"2002M09";
"Total de viajeros";"Variación anual";"2002M08";
"Total de viajeros";"Variación anual";"2002M07";
"Total de viajeros";"Variación anual";"2002M06";
"Total de viajeros";"Variación anual";"2002M05";
"Total de viajeros";"Variación anual";"2002M04";
"Total de viajeros";"Variación anual";"2002M03";
"Total de viajeros";"Variación anual";"2002M02";
"Total de viajeros";"Variación anual";"2002M01";
"Total de viajeros";"Variación anual";"2001M12";
"Total de viajeros";"Variación anual";"2001M11";
"Total de viajeros";"Variación anual";"2001M10";
"Total de viajeros";"Variación anual";"2001M09";
"Total de viajeros";"Variación anual";"2001M08";
"Total de viajeros";"Variación anual";"2001M07";
"Total de viajeros";"Variación anual";"2001M06";
