continent;coord_geo
Europe;"54.9,25.31666"
Asia;"34.047863,100.6196553"
Africa;"4.37325,18.562833"
North America;"37.09024,-95.712891"
South America;"-15.628785, -58.161704"
Oceania;"-23.063755, 133.497496"
